Date,Loc,Opponent,W/L,Score,IP,H,R,ER,BB,SO,2B,3B,HR,WP,BK,HDP,IBB,SCORE,W,L,SV,ERA
2/15/2019,vs ,Binghamton,W,10-0,9,7,0,0,1,9,0,0,0,1,0,1,0,10-0,1,0,1,0
2/16/2019,vs ,Binghamton,W,5-4,9,4,4,1,1,13,1,0,0,2,0,0,0,5-4,2,0,1,1
2/17/2019,vs ,Binghamton,W,12-2,9,8,2,2,3,10,4,0,0,0,0,0,0,12-2,3,0,0,2
2/22/2019,at ,The Citadel,W,2-0,9,1,0,0,0,13,0,0,0,0,0,0,0,2-0,4,0,0,0
2/23/2019,at ,The Citadel,W,9-1,9,4,1,1,1,9,0,0,1,0,0,1,0,9-1,5,0,0,1
2/24/2019,at ,The Citadel,W,6-3,9,6,3,3,8,14,0,0,0,1,0,1,0,6-3,6,0,1,3
3/1/2019,at ,CSUN,W,2-1,9,4,1,1,1,13,1,0,1,1,0,0,0,2-1,7,0,1,1
3/3/2019,at ,CSUN,W,4-2,9,5,2,2,5,7,0,0,0,0,0,1,0,4-2,8,0,1,2
3/3/2019,at ,CSUN,L,2-5,8,9,5,4,2,10,1,0,2,0,0,1,0,2-5,8,1,0,4.5
3/5/2019,at ,Long Beach State,L,7-8,8,11,8,7,6,3,2,0,0,0,1,1,0,7-8,8,2,0,7.88
3/8/2019,at ,UCLA,W,7-5,9,8,5,5,4,10,2,1,0,0,1,1,0,7-5,9,2,1,5
3/9/2019,at ,USC,L,1-4,8,7,4,4,3,6,0,0,0,1,0,0,0,1-4,9,3,0,4.5
3/10/2019,vs ,Oklahoma St.,L,2-3,10,6,3,3,6,16,0,0,1,0,0,1,0,2-3,9,4,0,2.7
3/14/2019,,Manhattan,W,5-1,9,4,1,1,1,8,1,0,0,0,0,1,0,5-1,10,4,0,1
3/15/2019,,Manhattan,W,23-2,9,9,2,2,3,9,3,0,0,0,0,0,0,23-2,11,4,0,2
3/16/2019,,Manhattan,W,16-7,9,7,7,4,4,7,0,0,1,2,0,2,0,16-7,12,4,1,4
3/17/2019,,Manhattan,W,4-0,7,3,0,0,1,2,1,0,0,0,0,2,0,4-0,13,4,0,0
3/19/2019,,Western Michigan,W,12-5,9,6,5,5,5,4,1,0,0,1,0,4,0,12-5,14,4,0,5
