Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG
2/17/2017,at ,Abilene Christian,W,9-2,38,9,11,6,2,0,1,6,0,4,0,1,1,1,0,15,27,14,1,0.289
2/18/2017,at ,Abilene Christian,W,19-7,45,19,23,18,6,1,5,7,0,2,3,1,0,2,0,5,27,11,1,0.511
2/18/2017,at ,Abilene Christian,W,9-7,35,9,12,8,3,0,0,7,0,1,0,2,0,2,1,2,27,15,4,0.343
2/19/2017,at ,Abilene Christian,W,14-5,39,14,17,12,4,0,0,6,0,1,1,2,0,1,0,3,27,13,1,0.436
2/24/2017,at ,UNCG,W,5-4,35,5,9,5,5,0,1,4,0,2,1,0,0,0,0,9,27,11,0,0.257
2/25/2017,at ,UNCG,W,22-16,47,22,21,19,5,1,2,11,0,6,0,2,1,0,0,14,27,6,4,0.447
2/26/2017,at ,UNCG,L,1-4,33,1,7,1,4,0,0,0,0,0,1,1,0,0,0,6,24,6,1,0.212
3/3/2017,vs ,Furman,W,3-2,33,3,7,3,0,0,2,2,0,1,0,2,1,0,1,7,27,13,2,0.212
3/4/2017,vs ,Michigan State,L,2-10,32,2,7,2,0,1,0,2,0,0,0,1,0,1,1,10,24,10,1,0.219
3/5/2017,vs ,UT Martin,W,6-1,34,6,9,6,2,0,1,9,0,4,1,2,0,0,0,9,27,13,1,0.265
3/8/2017,vs ,Michigan State,W,9-2,33,9,7,7,2,0,1,4,0,2,0,1,1,0,2,11,27,4,1,0.212
3/10/2017,at ,South Carolina,L,2-3,35,2,9,2,1,0,0,0,0,0,0,1,1,0,1,14,24,7,1,0.257
3/11/2017,at ,South Carolina,L,2-5,32,2,5,2,1,0,1,3,0,0,0,0,0,0,0,11,24,11,1,0.156
3/17/2017,vs ,Campbell,W,3-1,33,3,6,2,2,0,0,3,0,1,1,1,1,0,0,5,27,3,1,0.182
3/18/2017,at ,Richmond,W,13-4,41,13,14,12,4,0,2,12,0,5,0,1,0,0,1,7,27,9,0,0.341
3/19/2017,vs ,Michigan State,W,2-1,34,2,9,2,1,0,0,0,0,0,0,1,0,0,2,7,27,13,3,0.265
3/21/2017,,Central Michigan,W,11-2,38,11,16,8,3,0,0,3,0,2,0,0,1,1,0,11,27,7,1,0.421
3/24/2017,at ,Illinois,W,12-1,42,12,13,11,4,0,3,5,0,1,0,0,0,0,0,9,27,11,2,0.31
3/24/2017,at ,Illinois,W,12-4,36,12,11,10,2,0,2,10,0,0,2,0,0,0,0,8,27,7,1,0.306
3/26/2017,at ,Illinois,W,17-6,39,17,13,15,3,0,8,7,0,0,0,1,0,1,1,7,27,12,0,0.333
3/28/2017,,Western Michigan,L,2-3,33,2,8,2,1,0,0,1,0,2,0,0,1,0,0,6,27,13,1,0.242
4/1/2017,,Minnesota,L,2-3,31,2,6,2,1,0,0,3,0,0,0,0,1,0,1,10,27,4,2,0.194
4/1/2017,,Minnesota,L,3-4,36,3,10,3,2,0,0,2,0,1,1,0,0,0,0,5,27,8,1,0.278
4/2/2017,,Minnesota,L,4-9,32,4,8,4,3,0,0,1,0,1,1,2,1,0,1,3,27,13,1,0.25
4/4/2017,at ,Eastern Michigan,L,3-4,28,3,6,3,1,1,0,6,0,2,1,0,3,1,0,5,24,11,1,0.214
4/8/2017,,Fresno State,W,10-4,39,10,16,9,3,0,1,6,0,0,0,1,1,0,0,7,27,8,1,0.41
4/8/2017,,Fresno State,W,9-5,35,9,12,8,2,0,1,3,0,3,0,2,1,0,2,7,27,12,1,0.343
4/9/2017,,Fresno State,W,8-2,30,8,8,8,0,1,2,2,0,1,0,1,1,0,1,5,27,14,0,0.267
4/11/2017,at ,Notre Dame,L,1-2,32,1,8,1,2,0,0,2,0,3,1,1,2,0,0,8,24,11,1,0.25
4/14/2017,,Ohio State,W,2-0,30,2,7,2,4,1,0,2,0,1,0,0,0,1,0,3,27,9,0,0.233
4/15/2017,,Ohio State,W,6-5,31,6,8,6,2,0,2,0,0,0,0,1,1,0,0,13,27,7,0,0.258
4/16/2017,,Ohio State,L,8-13,34,8,8,8,2,0,2,5,0,0,0,0,0,0,1,6,27,14,4,0.235
4/18/2017,at ,Michigan,L,4-12,28,4,4,4,2,1,0,6,0,0,0,3,1,0,1,8,24,11,0,0.143
4/21/2017,at ,Maryland,L,2-12,33,2,8,2,2,0,0,1,0,0,1,0,0,0,1,8,24,7,2,0.242
4/23/2017,at ,Maryland,L,1-2,30,1,6,1,0,0,0,4,0,0,1,1,1,1,2,5,24,16,1,0.2
4/23/2017,at ,Maryland,L,2-6,35,2,8,2,0,0,1,3,0,0,0,1,0,0,1,6,24,9,1,0.229
4/26/2017,,Toledo,W,11-1,34,11,13,8,1,0,1,7,0,4,1,2,2,0,2,2,27,15,1,0.382
4/28/2017,at ,Northwestern,L,2-3,33,2,8,2,1,0,0,2,0,1,1,0,0,1,0,6,24,6,2,0.242
4/28/2017,at ,Northwestern,W,8-1,33,8,8,6,1,0,2,3,0,4,1,3,2,0,2,9,27,12,0,0.242
4/29/2017,at ,Northwestern,W,13-5,41,13,14,10,3,0,1,5,0,11,0,2,0,0,1,7,27,11,0,0.341
5/5/2017,,Iowa,L,2-3,33,2,10,1,4,0,0,1,0,1,1,0,2,0,1,7,27,12,0,0.303
5/6/2017,,Iowa,W,2-1,25,2,6,2,0,1,0,4,1,2,1,0,2,2,0,4,27,6,3,0.24
5/7/2017,,Iowa,L,4-9,35,4,10,3,5,0,0,2,0,0,1,0,0,1,1,4,27,15,4,0.286
5/9/2017,vs ,Western Michigan,W,7-6,34,7,12,7,2,0,0,12,1,3,0,0,1,1,0,7,27,8,2,0.353
5/10/2017,,Eastern Michigan,W,11-6,32,11,12,11,3,1,1,3,0,3,2,3,1,0,0,4,27,12,1,0.375
5/12/2017,at ,Nebraska,W,6-3,40,6,14,6,3,0,0,3,0,2,0,0,1,0,0,7,27,8,1,0.35
5/13/2017,at ,Nebraska,L,2-5,32,2,6,2,0,0,0,5,0,0,0,1,1,1,1,5,24,7,0,0.188
5/14/2017,at ,Nebraska,L,7-8,39,7,15,7,3,0,2,2,0,1,1,0,0,1,2,3,24,7,2,0.385
5/16/2017,at ,Central Michigan,W,7-0,39,7,14,6,1,0,0,3,0,7,1,0,1,1,1,9,27,12,0,0.359
5/18/2017,,Michigan,W,6-1,33,6,9,5,1,0,2,2,0,0,0,1,0,0,0,11,27,8,1,0.273
5/19/2017,at ,Michigan,L,6-11,36,6,10,4,2,0,1,5,0,1,0,0,0,0,1,14,24,5,0,0.278
5/20/2017,,Michigan,L,1-2,34,1,6,1,1,0,0,5,1,0,1,3,1,0,1,9,30,14,1,0.176
