Date,Loc,Opponent,W/L,Score,IP,H,R,ER,BB,SO,2B,3B,HR,WP,BK,HDP,IBB,SCORE,W,L,SV,ERA
2/16/2018,at ,Fresno State,L,4-5,8.1,8,5,3,5,17,2,0,0,2,0,2,0,4-5,0,1,0,3.24
2/17/2018,at ,Fresno State,L,4-9,8,18,9,9,3,6,4,1,2,1,0,2,0,4-9,0,2,0,10.13
2/17/2018,at ,Fresno State,L,1-2,8,6,2,1,1,11,0,0,0,1,0,0,0,1-2,0,3,0,1.13
2/18/2018,at ,Fresno State,L,4-5,8,10,5,5,1,7,3,0,1,2,0,0,0,4-5,0,4,0,5.63
2/23/2018,at ,Pepperdine,L,1-5,8,12,5,5,3,9,1,0,2,0,1,1,0,1-5,0,5,0,5.63
2/24/2018,at ,Pepperdine,W,5-2,9,7,2,2,1,11,1,0,0,1,0,1,0,5-2,1,5,0,2
2/25/2018,at ,Pepperdine,W,1-0,9,2,0,0,3,7,0,0,0,0,0,0,0,1-0,2,5,1,0
3/2/2018,vs ,Michigan State,W,4-3,10,7,3,2,3,6,3,0,0,0,0,0,1,4-3,3,5,1,1.8
3/3/2018,vs ,UCLA,L,1-4,8,7,4,4,3,6,1,0,2,0,0,1,0,1-4,3,6,0,4.5
3/4/2018,vs ,Arizona,W,3-2,9,4,2,2,3,5,2,0,0,1,0,1,0,3-2,4,6,0,2
3/7/2018,vs ,Michigan State,W,9-7,9,14,7,5,5,8,2,0,0,2,0,2,0,9-7,5,6,1,5
3/9/2018,vs ,Michigan State,W,15-4,9,8,4,2,5,5,0,0,0,1,0,0,0,15-4,6,6,0,2
3/9/2018,vs ,Michigan State,W,3-2,9,5,2,2,1,11,1,0,0,0,1,0,0,3-2,7,6,1,2
3/10/2018,vs ,Michigan State,L,2-4,8,12,4,3,2,8,0,1,0,1,0,0,0,2-4,7,7,0,3.38
3/15/2018,,Niagara,W,10-1,9,7,1,1,3,4,2,0,0,2,0,2,0,10-1,8,7,0,1
3/16/2018,,Niagara,L,2-3,9,6,3,1,2,6,1,0,0,2,0,0,0,2-3,8,8,0,1
3/17/2018,,Niagara,W,5-1,9,6,1,1,4,12,1,0,0,0,0,1,0,5-1,9,8,0,1
3/18/2018,,Niagara,L,10-12,9,12,12,6,5,12,4,0,1,2,0,5,2,10-12,9,9,0,6
3/21/2018,,Central Michigan,L,1-3,9,2,3,3,10,10,0,0,0,1,0,1,0,1-3,9,10,0,3
3/23/2018,at ,Michigan,L,3-12,8,9,12,6,6,6,3,1,2,0,0,2,0,3-12,9,11,0,6.75
3/24/2018,,Michigan,L,1-3,9,4,3,0,4,11,0,0,0,0,0,0,0,1-3,9,12,0,0
3/25/2018,at ,Michigan,L,0-11,8,15,11,10,4,8,4,0,1,1,0,0,0,0-11,9,13,0,11.25
3/28/2018,,Western Michigan,L,1-6,9,7,6,6,5,4,2,0,0,1,0,0,0,1-6,9,14,0,6
3/30/2018,,Rutgers,L,4-8,9,10,8,8,3,5,2,1,0,0,0,0,1,4-8,9,15,0,8
3/30/2018,,Rutgers,L,4-6,9,9,6,5,4,6,1,0,0,1,0,1,0,4-6,9,16,0,5
4/1/2018,,Rutgers,W,6-0,9,5,0,0,3,7,2,0,0,0,0,0,0,6-0,10,16,0,0
4/7/2018,,Nebraska,W,17-5,9,10,5,5,5,10,1,0,1,0,0,0,0,17-5,11,16,1,5
4/8/2018,,Nebraska,W,5-3,9,7,3,3,7,11,3,0,1,0,0,0,2,5-3,12,16,0,3
4/10/2018,,Notre Dame,L,7-8,9,11,8,7,7,8,3,0,1,1,0,0,0,7-8,12,17,0,7
4/13/2018,,Valparaiso,W,5-4,12,11,4,4,5,12,2,0,2,0,0,3,1,5-4,13,17,0,3
4/13/2018,,Valparaiso,L,6-7,9,10,7,6,3,5,4,0,1,0,0,0,0,6-7,13,18,0,6
4/18/2018,at ,Western Michigan,W,10-7,9,11,7,6,7,7,3,0,1,3,0,1,1,10-7,14,18,1,6
4/20/2018,at ,Northwestern,W,5-3,9,7,3,2,1,11,1,0,0,0,0,1,0,5-3,15,18,1,2
4/21/2018,at ,Northwestern,W,4-2,9,6,2,1,2,7,2,0,0,0,0,2,0,4-2,16,18,1,1
4/22/2018,at ,Northwestern,W,6-5,9,10,5,5,3,10,0,0,2,0,0,1,0,6-5,17,18,1,5
4/25/2018,,Toledo,W,5-4,9,5,4,4,8,7,1,1,0,0,0,1,0,5-4,18,18,1,4
4/27/2018,,Maryland,W,4-2,9,3,2,1,6,9,1,0,0,0,0,0,0,4-2,19,18,1,1
4/28/2018,,Maryland,L,2-8,9,9,8,7,6,5,1,0,2,2,0,1,0,2-8,19,19,0,7
4/29/2018,,Maryland,L,3-5,9,6,5,5,3,9,2,0,1,0,0,2,0,3-5,19,20,0,5
5/4/2018,at ,Penn State,L,1-13,8,15,13,12,3,8,5,0,0,1,0,2,0,1-13,19,21,0,13.5
5/5/2018,at ,Penn State,L,1-6,8,10,6,3,4,7,1,0,1,1,1,0,0,1-6,19,22,0,3.38
5/5/2018,at ,Penn State,W,6-4,9,8,4,4,3,8,1,0,0,0,1,0,0,6-4,20,22,1,4
5/9/2018,,Michigan,L,2-10,9,14,10,9,5,5,3,0,3,0,0,2,0,2-10,20,23,0,9
5/11/2018,at ,Minnesota,W,6-5,9,12,5,4,4,12,1,0,0,0,1,0,0,6-5,21,23,1,4
5/12/2018,at ,Minnesota,L,5-10,8,10,10,2,6,7,0,1,1,1,0,0,0,5-10,21,24,0,2.25
5/13/2018,at ,Minnesota,L,1-3,8,8,3,3,3,6,1,0,0,1,0,0,0,1-3,21,25,0,3.38
5/15/2018,at ,Central Michigan,L,2-13,8,16,13,7,4,3,0,0,1,1,0,1,0,2-13,21,26,0,7.88
5/17/2018,,Ohio State,L,8-10,9,10,10,6,8,8,3,0,0,2,0,1,1,8-10,21,27,0,6
5/18/2018,,Ohio State,W,6-2,9,9,2,1,4,8,2,0,0,0,0,1,0,6-2,22,27,0,1
5/19/2018,,Ohio State,W,8-3,9,9,3,1,1,6,3,0,0,0,0,0,0,8-3,23,27,0,1
5/23/2018,vs ,Minnesota,L,2-3,8,10,3,2,3,2,3,0,0,2,0,1,0,2-3,23,28,0,2.25
5/24/2018,vs ,Indiana,L,5-6,9.1,8,6,6,6,9,1,0,1,1,0,2,0,5-6,23,29,0,5.79
