Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG
2/15/2014,home,Michigan State,L,1-4,34,1,8,1,1,0,0,3,0,0,0,0,0,0,1,4,24,7,1,0.235
2/16/2014,home,Michigan State,L,1-2,32,1,8,1,4,0,0,3,0,0,2,0,1,0,0,8,24,9,1,0.25
2/16/2014,home,Michigan State,W,7-1,32,7,7,7,3,1,0,6,0,1,0,2,3,0,1,4,27,13,1,0.21899999999999997
2/21/2014,home,Michigan State,L,5-8,33,5,8,4,1,0,0,3,0,0,0,5,1,0,0,9,24,7,2,0.242
2/22/2014,home,Oregon State,W,8-7,37,8,13,7,1,1,1,5,2,0,1,1,2,0,0,2,27,15,2,0.35100000000000003
2/23/2014,home,Washington,L,1-4,29,1,4,0,0,0,0,2,0,0,0,1,0,0,2,2,24,7,1,0.138
2/28/2014,home,Michigan State,W,10-5,42,10,13,7,1,0,1,7,0,2,0,2,1,0,1,11,30,8,2,0.31
2/28/2014,home,Mississippi State,L,2-4,30,2,5,2,1,0,0,4,0,2,0,1,2,0,0,6,24,5,1,0.16699999999999998
3/1/2014,home,Mississippi State,L,1-7,28,1,4,0,1,0,0,4,0,2,0,0,0,0,2,9,24,14,3,0.14300000000000002
3/2/2014,home,Eastern Illinois,W,18-13,45,18,20,17,5,1,1,7,1,2,0,1,0,2,0,7,27,11,3,0.444
3/5/2014,home,ULM,L,1-5,30,1,4,0,3,0,0,2,0,0,1,0,0,0,0,6,24,17,1,0.133
3/7/2014,home,TCU,W,2-1,29,2,4,2,1,0,1,1,0,0,0,0,1,0,1,12,27,14,2,0.138
3/8/2014,home,TCU,W,4-1,37,4,14,3,2,0,0,2,1,2,0,3,2,0,2,5,27,8,1,0.37799999999999995
3/9/2014,home,TCU,L,2-6,35,2,8,2,0,0,1,0,0,3,0,0,0,0,1,8,24,7,1,0.22899999999999998
3/15/2014,home,Michigan State,L,0-1,32,0,3,0,1,0,0,2,0,0,0,0,0,0,0,5,24,4,0,0.094
3/15/2014,home,Michigan State,L,0-4,30,0,4,0,0,0,0,3,0,1,1,1,0,0,0,6,24,9,2,0.133
3/17/2014,home,Michigan State,W,7-3,30,7,9,7,1,1,0,5,0,1,0,3,1,1,0,8,24,3,1,0.3
3/21/2014,away,Ohio State,W,7-6,37,7,13,7,2,1,1,3,0,3,0,0,1,1,0,5,27,9,1,0.35100000000000003
3/22/2014,away,Ohio State,L,2-6,33,2,7,2,0,0,1,3,0,0,0,0,0,0,0,5,27,15,1,0.212
