Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG
2/16/2018,at ,Fresno State,L,4-5,30,4,5,3,1,0,1,6,0,1,0,2,0,0,2,9,25,6,2,0.167
2/17/2018,at ,Fresno State,L,4-9,32,4,6,2,1,0,0,6,0,2,0,1,0,1,0,10,24,9,2,0.188
2/17/2018,at ,Fresno State,L,1-2,33,1,7,1,0,0,0,1,0,5,0,0,1,0,0,11,24,8,1,0.212
2/18/2018,at ,Fresno State,L,4-5,33,4,8,4,1,0,2,2,0,1,2,1,0,0,0,10,24,10,2,0.242
2/23/2018,at ,Pepperdine,L,1-5,33,1,7,1,1,0,1,0,0,0,0,0,0,0,1,11,24,10,1,0.212
2/24/2018,at ,Pepperdine,W,5-2,35,5,10,4,0,1,1,4,0,3,0,0,1,0,1,10,27,9,0,0.286
2/25/2018,at ,Pepperdine,W,1-0,30,1,4,1,1,1,0,1,0,1,0,1,0,1,0,10,27,11,2,0.133
3/2/2018,vs ,Michigan State,W,4-3,36,4,13,4,4,0,0,1,0,1,1,2,2,2,2,5,30,16,2,0.361
3/3/2018,vs ,UCLA,L,1-4,31,1,5,1,0,0,1,0,0,0,1,0,0,0,0,8,24,11,1,0.161
3/4/2018,vs ,Arizona,W,3-2,33,3,7,3,2,0,0,0,0,0,0,1,1,0,0,3,27,8,1,0.212
3/7/2018,vs ,Michigan State,W,9-7,32,9,8,9,1,0,0,8,0,0,1,0,0,1,0,9,27,9,2,0.25
3/9/2018,vs ,Michigan State,W,15-4,39,15,14,14,7,0,1,12,0,2,0,3,0,1,1,10,27,15,3,0.359
3/9/2018,vs ,Michigan State,W,3-2,34,3,8,2,0,1,0,5,0,0,0,0,0,0,2,6,27,12,3,0.235
3/10/2018,vs ,Michigan State,L,2-4,30,2,3,0,1,0,0,5,0,2,0,1,0,0,0,7,24,11,1,0.1
3/15/2018,,Niagara,W,10-1,31,10,10,9,2,1,0,9,0,8,1,1,0,2,1,3,27,9,0,0.323
3/16/2018,,Niagara,L,2-3,31,2,6,2,1,0,0,1,0,3,2,0,0,0,0,11,27,11,3,0.194
3/17/2018,,Niagara,W,5-1,27,5,8,5,0,1,0,9,1,5,0,1,1,1,1,5,27,5,2,0.296
3/18/2018,,Niagara,L,10-12,34,10,9,9,0,1,1,6,0,2,1,0,1,2,0,5,27,9,3,0.265
3/21/2018,,Central Michigan,L,1-3,29,1,9,1,1,1,0,5,0,1,0,1,3,0,2,8,27,8,0,0.31
3/23/2018,at ,Michigan,L,3-12,31,3,6,3,1,0,0,6,0,4,0,1,0,0,1,7,24,10,1,0.194
3/24/2018,,Michigan,L,1-3,36,1,6,1,0,0,0,1,0,3,0,1,0,0,0,5,27,7,2,0.167
3/25/2018,at ,Michigan,L,0-11,36,0,9,0,2,0,0,3,0,1,0,1,0,0,0,7,24,8,2,0.25
3/28/2018,,Western Michigan,L,1-6,33,1,7,1,0,0,0,1,0,2,0,1,0,0,0,3,27,5,2,0.212
3/30/2018,,Rutgers,L,4-8,34,4,9,4,0,1,1,1,0,0,1,1,0,0,1,2,27,6,3,0.265
3/30/2018,,Rutgers,L,4-6,32,4,6,4,2,0,0,3,0,2,0,2,0,0,2,7,27,14,1,0.188
