Date,Loc,Opponent,W/L,Score,IP,H,R,ER,BB,SO,2B,3B,HR,WP,BK,HDP,IBB,SCORE,W,L,SV,ERA
2/15/2019,at ,New Orleans,W,8-4,9,7,4,4,9,11,1,0,1,3,0,1,0,8-4,1,0,1,4
2/16/2019,at ,New Orleans,L,1-4,8,8,4,4,3,8,2,0,0,1,0,2,0,1-4,1,1,0,4.5
2/17/2019,at ,New Orleans,L,4-6,8,9,6,6,4,11,2,1,2,2,0,1,1,4-6,1,2,0,6.75
2/22/2019,at ,Coastal Carolina,L,0-13,8,15,13,10,4,6,2,0,3,2,0,3,0,0-13,1,3,0,11.25
2/22/2019,at ,Coastal Carolina,L,5-12,8,18,12,12,7,10,5,1,1,3,0,2,0,5-12,1,4,0,13.5
2/23/2019,vs ,NC State,L,0-5,9,10,5,5,3,10,3,0,0,1,0,0,0,0-5,1,5,0,5
2/24/2019,vs ,Kent State,L,2-12,8,10,12,11,9,8,2,0,0,2,0,0,0,2-12,1,6,0,12.38
3/1/2019,at ,Arizona State,L,0-8,8,14,8,5,4,3,1,1,2,0,0,0,0,0-8,1,7,0,5.63
3/2/2019,at ,Arizona State,L,5-8,10.2,11,8,5,2,11,3,0,1,1,0,0,0,5-8,1,8,0,4.22
3/3/2019,at ,Arizona State,L,2-13,8,16,13,9,9,6,4,0,4,1,0,0,0,2-13,1,9,0,10.13
3/5/2019,at ,Arizona,W,9-5,9,9,5,5,8,9,1,0,0,1,0,0,0,9-5,2,9,0,5
3/9/2019,vs ,Western Carolina,L,4-6,10,13,6,4,4,9,4,0,0,0,0,1,1,4-6,2,10,0,3.6
3/9/2019,,Ohio State,W,7-1,9,7,1,1,0,11,1,0,0,0,0,0,0,7-1,3,10,0,1
3/10/2019,vs ,Appalachian State,L,6-9,9,10,9,7,5,8,1,0,1,0,0,2,0,6-9,3,11,0,7
3/15/2019,vs ,UConn,L,6-10,9,12,10,10,11,6,2,2,1,3,0,4,0,6-10,3,12,0,10
3/16/2019,vs ,UConn,L,4-17,9,12,17,11,13,8,5,0,0,3,0,6,0,4-17,3,13,0,11
3/16/2019,vs ,UConn,L,3-9,9,9,9,7,6,6,3,0,1,0,0,1,0,3-9,3,14,0,7
3/17/2019,vs ,UConn,L,1-6,9,11,6,5,3,15,2,0,1,2,0,0,0,1-6,3,15,0,5
3/22/2019,at ,Nebraska,L,1-4,8,8,4,2,4,8,2,0,0,0,0,1,0,1-4,3,16,0,2.25
