Date,Loc,Opponent,W/L,Score,IP,H,R,ER,BB,SO,2B,3B,HR,WP,BK,HDP,IBB,SCORE,W,L,SV,ERA
2/15/2014,vs ,Michigan State,L,1-4,8,8,4,4,5,6,3,0,0,1,0,3,0,1-4,0,1,0,4.5
2/16/2014,vs ,Michigan State,L,1-2,8,6,2,2,2,5,2,0,0,0,0,2,0,1-2,0,2,0,2.25
2/16/2014,vs ,Michigan State,W,7-1,9,5,1,1,0,4,2,0,0,0,0,0,0,7-1,1,2,0,1
2/21/2014,vs ,Michigan State,L,5-8,8,10,8,6,5,9,1,1,1,1,0,1,0,5-8,1,3,0,6.75
2/22/2014,vs ,Oregon State,W,8-7,9,7,7,6,6,4,3,1,1,0,0,0,0,8-7,2,3,0,6
2/23/2014,vs ,Washington,L,1-4,8,8,4,1,1,2,1,0,1,1,0,5,0,1-4,2,4,0,1.13
2/28/2014,vs ,Michigan State,W,10-5,10,7,5,2,6,6,1,0,0,0,0,2,0,10-5,3,4,0,1.8
2/28/2014,at ,Mississippi State,L,2-4,8,8,4,4,4,7,0,0,0,2,0,1,0,2-4,3,5,0,4.5
3/1/2014,at ,Mississippi State,L,1-7,8,13,7,6,6,4,0,0,1,3,0,0,0,1-7,3,6,0,6.75
3/2/2014,vs ,Eastern Illinois,W,18-13,9,18,13,6,6,10,3,1,2,0,0,2,0,18-13,4,6,1,6
3/5/2014,at ,ULM,L,1-5,8,13,5,5,5,8,4,0,0,1,0,0,0,1-5,4,7,0,5.63
3/7/2014,at ,TCU,W,2-1,9,6,1,0,5,3,2,0,0,0,0,0,0,2-1,5,7,1,0
3/8/2014,at ,TCU,W,4-1,9,6,1,1,2,6,0,0,0,0,0,1,0,4-1,6,7,1,1
3/9/2014,at ,TCU,L,2-6,8,12,6,6,2,1,1,1,1,0,0,0,0,2-6,6,8,0,6.75
3/15/2014,vs ,Michigan State,L,0-1,8,6,1,1,1,7,3,0,0,0,0,1,0,0-1,6,9,0,1.13
3/15/2014,vs ,Michigan State,L,0-4,8,6,4,3,0,6,2,1,0,0,0,1,0,0-4,6,10,0,3.38
3/17/2014,vs ,Michigan State,W,7-3,8,7,3,1,3,8,3,0,0,3,0,1,0,7-3,7,10,1,1.13
3/21/2014,,Ohio State,W,7-6,9,7,6,6,4,8,4,0,1,0,0,2,0,7-6,8,10,0,6
3/22/2014,,Ohio State,L,2-6,9,10,6,6,3,6,1,0,1,0,0,2,0,2-6,8,11,0,6
3/23/2014,,Ohio State,L,0-1,9,8,1,1,0,5,0,0,0,1,0,0,0,0-1,8,12,0,1
3/29/2014,at ,Minnesota,L,2-4,8,8,4,4,1,5,2,0,0,0,0,0,0,2-4,8,13,0,4.5
3/30/2014,at ,Minnesota,W,5-0,8,4,0,0,3,5,0,0,0,0,0,0,0,5-0,9,13,0,0
3/30/2014,at ,Minnesota,W,15-0,9,5,0,0,4,3,2,0,0,0,0,0,0,15-0,10,13,0,0
4/1/2014,at ,Eastern Michigan,W,5-3,9,6,3,2,2,10,1,0,0,0,0,0,0,5-3,11,13,0,2
4/2/2014,,Oakland,W,5-3,9,12,3,2,2,2,1,0,0,2,0,1,0,5-3,12,13,1,2
4/5/2014,,Siena,W,6-1,9,3,1,1,1,8,0,0,0,0,0,1,0,6-1,13,13,0,1
4/5/2014,,Siena,W,4-0,9,3,0,0,0,10,0,0,0,0,0,0,0,4-0,14,13,0,0
4/6/2014,,Siena,W,5-1,9,5,1,0,2,5,1,0,0,0,0,1,0,5-1,15,13,0,0
4/8/2014,,Central Michigan,L,1-10,9,4,10,3,6,8,1,0,0,3,0,1,0,1-10,15,14,0,3
4/9/2014,,Western Michigan,W,11-3,9,7,3,3,4,6,0,0,0,1,0,1,0,11-3,16,14,0,3
4/11/2014,,Purdue,L,3-5,11,15,5,4,1,14,0,0,1,1,0,0,0,3-5,16,15,0,3.27
4/12/2014,,Purdue,W,7-6,9,11,6,5,2,5,2,1,0,0,0,2,0,7-6,17,15,0,5
4/12/2014,,Purdue,W,2-1,9,5,1,1,0,6,0,0,0,0,0,0,0,2-1,18,15,0,1
4/16/2014,at ,Central Michigan,L,5-7,8,8,7,1,6,6,0,0,0,0,0,1,0,5-7,18,16,0,1.13
4/18/2014,at ,Indiana,L,0-7,8,8,7,5,3,4,1,1,1,0,0,0,0,0-7,18,17,0,5.63
4/19/2014,at ,Indiana,L,1-2,11.1,9,2,2,5,12,0,1,0,0,0,0,2,1-2,18,18,0,1.59
4/20/2014,at ,Indiana,L,1-4,8,6,4,4,3,6,3,0,0,1,0,0,1,1-4,18,19,0,4.5
4/22/2014,,Toledo,W,4-2,9,5,2,2,2,5,1,1,0,0,0,1,0,4-2,19,19,1,2
4/25/2014,,Northwestern,W,3-2,9,10,2,2,1,6,1,0,0,0,0,0,0,3-2,20,19,1,2
4/26/2014,,Northwestern,W,7-1,9,5,1,1,6,5,2,0,0,0,0,1,0,7-1,21,19,0,1
4/27/2014,,Northwestern,W,15-3,9,10,3,3,1,6,2,0,1,0,0,0,0,15-3,22,19,0,3
5/2/2014,at ,Illinois,L,4-5,8,5,5,5,3,6,1,2,1,1,0,0,0,4-5,22,20,0,5.63
5/3/2014,at ,Illinois,L,4-5,9.2,10,5,5,3,8,3,0,3,0,0,1,0,4-5,22,21,0,4.66
5/4/2014,at ,Illinois,L,9-10,8.2,14,10,10,3,7,3,1,0,0,0,2,0,9-10,22,22,0,10.38
5/6/2014,at ,Western Michigan,W,5-4,9,9,4,4,6,6,0,0,0,1,0,2,0,5-4,23,22,1,4
5/7/2014,,Eastern Michigan,W,12-4,9,10,4,1,6,5,3,0,0,0,0,0,0,12-4,24,22,0,1
5/10/2014,,Nebraska,L,3-5,9,8,5,4,3,4,2,0,0,0,0,0,0,3-5,24,23,0,4
5/11/2014,,Nebraska,L,1-4,9,7,4,4,2,3,1,0,1,0,0,0,0,1-4,24,24,0,4
5/12/2014,,Nebraska,L,1-4,7,8,4,3,2,8,2,0,0,0,0,0,0,1-4,24,25,0,3.86
5/13/2014,vs ,Central Michigan,L,4-7,8,9,7,3,5,2,1,1,0,0,0,1,0,4-7,24,26,0,3.38
5/16/2014,at ,Penn State,W,4-1,9,4,1,1,2,9,1,0,0,0,0,1,0,4-1,25,26,1,1
5/16/2014,at ,Penn State,W,4-2,9,8,2,2,3,5,0,0,1,1,0,0,0,4-2,26,26,1,2
5/17/2014,at ,Penn State,W,7-6,9,8,6,5,3,6,1,0,0,0,1,0,0,7-6,27,26,1,5
5/21/2014,vs ,Illinois,W,2-1,9,7,1,0,3,8,1,0,0,2,0,2,0,2-1,28,26,1,0
5/22/2014,vs ,Michigan State,W,3-2,9,5,2,0,3,8,0,0,0,0,0,0,0,3-2,29,26,1,0
5/23/2014,vs ,Illinois,W,11-2,9,6,2,1,1,5,1,0,0,0,0,1,0,11-2,30,26,0,1
5/24/2014,vs ,Michigan State,W,7-4,9,7,4,3,2,3,2,0,0,2,0,0,1,7-4,31,26,0,3
