Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG
2/15/2019,vs ,Binghamton,W,10-0,31,10,11,8,3,1,1,7,0,3,0,2,1,1,2,6,27,10,1,0.355
2/16/2019,vs ,Binghamton,W,5-4,30,5,7,5,2,0,0,7,0,2,1,0,0,0,0,7,27,11,5,0.233
2/17/2019,vs ,Binghamton,W,12-2,34,12,12,12,1,2,1,3,1,2,0,3,0,3,1,5,27,12,1,0.353
2/22/2019,at ,The Citadel,W,2-0,32,2,8,2,1,0,0,2,0,2,0,1,0,1,2,8,27,8,0,0.25
2/23/2019,at ,The Citadel,W,9-1,40,9,12,9,3,0,2,8,0,6,0,0,0,0,0,10,27,11,0,0.3
2/24/2019,at ,The Citadel,W,6-3,36,6,8,5,3,0,1,4,0,1,1,0,0,0,0,8,27,8,1,0.222
3/1/2019,at ,CSUN,W,2-1,33,2,6,2,2,0,1,4,0,2,1,0,1,0,0,11,27,7,1,0.182
3/3/2019,at ,CSUN,W,4-2,28,4,4,4,0,0,1,4,0,3,1,2,1,0,0,7,27,10,0,0.143
3/3/2019,at ,CSUN,L,2-5,32,2,5,2,0,0,1,2,0,0,0,0,0,0,1,6,24,6,2,0.156
3/5/2019,at ,Long Beach State,L,7-8,42,7,14,5,3,0,2,2,0,0,1,1,0,0,1,7,24,15,0,0.333
3/8/2019,at ,UCLA,W,7-5,36,7,11,6,3,0,0,5,0,0,0,0,0,1,1,11,27,7,0,0.306
3/9/2019,at ,USC,L,1-4,28,1,3,0,1,0,0,3,0,2,1,0,0,0,1,9,24,14,1,0.107
3/10/2019,vs ,Oklahoma St.,L,2-3,34,2,7,2,1,1,1,3,0,1,1,0,0,0,1,11,30,9,0,0.206
3/14/2019,,Manhattan,W,5-1,29,5,9,5,4,0,0,4,0,1,0,0,0,1,1,3,27,13,1,0.31
3/15/2019,,Manhattan,W,23-2,42,23,17,19,2,0,2,11,0,1,0,3,0,2,0,9,27,13,2,0.405
3/16/2019,,Manhattan,W,16-7,42,16,19,15,2,1,2,4,0,3,0,1,0,1,0,7,27,13,1,0.452
3/17/2019,,Manhattan,W,4-0,22,4,6,4,2,0,0,4,0,1,0,0,0,1,0,7,21,4,1,0.273
3/19/2019,,Western Michigan,W,12-5,37,12,12,11,2,0,1,8,0,2,0,0,0,0,0,9,27,20,1,0.324
3/21/2019,at ,Texas Tech,L,2-11,32,2,6,2,1,0,1,2,0,1,0,0,0,0,1,11,24,6,4,0.188
3/22/2019,at ,Texas Tech,L,3-10,32,3,8,3,3,0,1,3,0,2,0,0,1,1,1,8,24,13,2,0.25
3/23/2019,at ,Texas Tech,L,5-8,38,5,11,5,5,0,0,3,0,1,2,0,0,0,0,10,24,7,2,0.289
3/23/2019,vs ,Stetson,W,16-6,40,16,18,15,2,1,3,10,0,2,1,1,1,1,0,8,27,6,0,0.45
3/27/2019,,San Jose State,W,1-0,21,1,4,1,2,1,0,3,0,1,1,0,0,1,1,2,21,11,2,0.19
3/27/2019,,San Jose State,W,3-0,22,3,2,3,1,0,0,2,0,0,0,1,0,0,0,2,21,8,0,0.091
3/29/2019,at ,Michigan State,W,6-3,37,6,13,6,4,0,1,3,0,0,1,1,0,0,1,4,27,10,0,0.351
3/30/2019,,Michigan State,W,16-2,40,16,18,15,8,0,4,5,0,0,1,2,0,1,0,9,27,14,1,0.45
4/3/2019,,Toledo,W,8-2,31,8,10,6,0,0,1,4,1,5,2,2,1,1,1,4,27,16,1,0.323
4/5/2019,,Minnesota,L,4-6,36,4,9,3,2,0,1,4,0,0,0,0,0,0,0,8,27,5,0,0.25
4/6/2019,,Minnesota,W,5-3,32,5,9,5,2,0,1,7,0,2,0,4,0,0,0,9,27,9,1,0.281
4/7/2019,,Minnesota,W,8-0,30,8,10,8,1,0,3,9,0,3,0,1,2,1,0,5,27,12,1,0.333
4/9/2019,,Indiana State,L,7-8,40,7,12,7,4,0,3,7,1,0,0,0,0,0,2,7,30,18,0,0.3
4/10/2019,,Indiana State,W,6-4,25,6,8,5,3,0,1,7,0,0,0,0,1,1,0,1,18,6,0,0.32
4/12/2019,at ,Ohio State,L,5-10,34,5,9,5,0,0,1,7,0,0,0,2,0,0,1,10,24,8,2,0.265
4/13/2019,at ,Ohio State,L,4-10,34,4,7,4,2,0,1,4,0,0,0,0,0,0,0,10,24,10,0,0.206
4/13/2019,at ,Ohio State,W,6-2,41,6,12,5,3,2,1,3,0,1,1,1,0,0,0,12,27,10,2,0.293
4/17/2019,,Bowling Green State,W,10-5,33,10,12,9,4,0,1,7,0,4,0,1,0,1,0,7,27,9,0,0.364
4/20/2019,,Northwestern,W,4-1,29,4,5,1,2,0,0,3,0,0,1,0,0,0,0,7,27,9,0,0.172
4/21/2019,,Northwestern,W,3-2,29,3,6,2,0,0,0,3,0,3,1,0,1,0,2,2,27,10,0,0.207
4/21/2019,,Northwestern,W,10-1,35,10,14,10,3,0,2,4,0,0,2,1,0,0,1,4,27,17,0,0.4
4/26/2019,,Rutgers,W,8-3,38,8,14,7,2,0,2,6,0,1,0,2,0,0,2,3,27,13,0,0.368
4/27/2019,,Rutgers,W,10-1,31,10,7,10,0,0,2,6,0,2,0,3,0,1,1,4,27,7,1,0.226
4/28/2019,,Rutgers,W,4-1,34,4,7,4,1,0,1,7,0,3,0,1,0,0,1,9,30,12,1,0.206
5/3/2019,at ,Maryland,W,10-7,34,10,9,9,3,0,1,8,0,1,0,0,0,2,1,8,27,11,1,0.265
5/4/2019,at ,Maryland,W,10-4,36,10,11,10,3,0,1,9,1,6,1,3,0,1,0,9,27,5,0,0.306
5/5/2019,at ,Maryland,W,13-1,36,13,11,12,4,0,2,10,0,1,0,3,0,1,1,11,27,4,2,0.306
5/7/2019,,Michigan State,W,7-0,31,7,8,6,0,1,1,6,0,3,0,2,0,2,0,4,27,9,0,0.258
5/8/2019,,Eastern Michigan,W,10-1,34,10,13,9,4,1,1,6,0,1,0,1,1,2,0,2,27,14,0,0.382
5/10/2019,,Indiana,L,4-10,36,4,9,4,0,0,0,1,0,0,0,1,0,0,0,15,27,15,4,0.25
5/11/2019,,Indiana,L,8-10,41,8,16,8,6,0,0,2,0,3,0,0,0,1,0,7,27,2,0,0.39
5/12/2019,,Indiana,W,6-5,42,6,12,6,4,0,0,4,0,1,0,1,1,0,0,12,33,10,5,0.286
5/14/2019,at ,Kentucky,L,4-7,34,4,8,4,1,0,2,2,0,1,0,0,0,1,0,9,24,10,0,0.235
