Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG
2/15/2019,at ,New Orleans,W,8-4,32,8,6,4,1,1,1,7,0,3,0,0,0,0,1,12,27,4,1,0.188
2/16/2019,at ,New Orleans,L,1-4,36,1,11,1,1,0,0,1,0,1,0,1,0,0,1,4,24,10,1,0.306
2/17/2019,at ,New Orleans,L,4-6,32,4,10,4,2,1,2,4,0,2,1,0,1,0,1,4,24,6,1,0.313
2/22/2019,at ,Coastal Carolina,L,0-13,30,0,2,0,0,0,0,1,0,0,0,1,0,0,0,10,24,8,3,0.067
2/22/2019,at ,Coastal Carolina,L,5-12,35,5,9,5,1,0,1,1,0,0,0,0,1,0,0,11,24,9,2,0.257
2/23/2019,vs ,NC State,L,0-5,31,0,5,0,0,0,0,2,0,1,0,0,0,0,0,11,27,7,0,0.161
2/24/2019,vs ,Kent State,L,2-12,30,2,4,2,0,0,0,2,0,0,2,0,0,0,0,6,24,14,2,0.133
3/1/2019,at ,Arizona State,L,0-8,34,0,7,0,1,0,0,2,0,1,0,0,0,0,0,8,24,7,2,0.206
3/2/2019,at ,Arizona State,L,5-8,36,5,6,4,0,0,1,4,0,0,1,1,1,1,0,13,32,11,3,0.167
3/3/2019,at ,Arizona State,L,2-13,35,2,7,2,0,0,0,2,0,1,0,0,0,0,0,9,24,7,1,0.2
3/5/2019,at ,Arizona,W,9-5,37,9,9,5,1,1,0,5,0,3,0,1,0,1,0,8,27,6,0,0.243
3/9/2019,vs ,Western Carolina,L,4-6,30,4,7,4,2,0,1,5,0,2,0,0,2,1,3,8,30,13,2,0.233
3/9/2019,,Ohio State,W,7-1,34,7,12,7,3,0,0,2,0,0,0,0,1,0,0,6,27,6,1,0.353
3/10/2019,vs ,Appalachian State,L,6-9,33,6,10,6,2,0,2,7,0,1,1,0,0,1,3,10,27,11,4,0.303
3/15/2019,vs ,UConn,L,6-10,37,6,12,6,5,0,1,9,0,1,0,0,0,2,0,12,27,9,2,0.324
3/16/2019,vs ,UConn,L,4-17,37,4,10,4,2,0,0,7,0,1,0,0,0,1,0,10,27,6,1,0.27
3/16/2019,vs ,UConn,L,3-9,31,3,6,2,0,0,0,4,0,1,1,1,1,0,0,7,27,18,1,0.194
3/17/2019,vs ,UConn,L,1-6,32,1,7,1,1,0,0,3,0,1,1,0,0,0,1,9,27,4,1,0.219
3/22/2019,at ,Nebraska,L,1-4,29,1,2,1,0,0,1,0,0,0,0,0,0,0,0,6,24,8,1,0.069
3/22/2019,at ,Nebraska,L,2-5,34,2,9,2,0,0,0,3,0,0,2,0,0,0,0,5,24,6,2,0.265
3/24/2019,at ,Nebraska,L,2-6,34,2,5,2,2,0,1,1,0,0,0,0,0,0,0,9,24,9,2,0.147
3/27/2019,,Western Michigan,W,3-2,24,3,5,3,2,0,0,4,1,1,0,1,3,2,0,4,27,7,3,0.208
3/29/2019,,Michigan,L,3-6,30,3,5,3,2,0,0,1,0,1,0,0,1,0,0,5,27,8,0,0.167
3/30/2019,at ,Michigan,L,2-16,31,2,5,1,0,0,0,7,0,1,0,0,0,0,2,9,24,7,0,0.161
4/2/2019,vs ,Western Michigan,W,5-2,31,5,10,4,2,0,0,0,0,2,1,0,1,1,0,12,27,13,1,0.323
4/3/2019,,Central Michigan,L,6-8,34,6,9,6,1,1,0,3,0,1,1,0,0,1,0,9,27,10,3,0.265
4/5/2019,,Indiana State,W,1-0,30,1,7,1,1,0,0,2,0,0,2,1,1,0,1,3,30,9,0,0.233
4/6/2019,,Indiana State,L,1-2,30,1,3,1,1,0,0,2,0,1,0,0,0,0,0,5,27,11,0,0.1
4/7/2019,,Indiana State,W,6-0,33,6,14,6,2,0,1,4,0,1,0,0,2,0,2,2,27,10,1,0.424
4/9/2019,at ,Notre Dame,W,3-2,35,3,7,2,1,0,1,3,0,2,0,1,0,0,0,8,27,9,3,0.2
4/12/2019,at ,Rutgers,L,2-4,32,2,7,2,0,0,0,2,0,1,1,0,1,0,0,8,24,10,1,0.219
4/13/2019,at ,Rutgers,L,3-6,39,3,12,2,2,0,0,3,0,0,1,0,0,0,1,10,24,14,2,0.308
4/14/2019,at ,Rutgers,L,0-8,29,0,1,0,1,0,0,2,0,0,0,1,0,0,0,11,24,6,2,0.034
4/17/2019,,Eastern Michigan,W,5-3,31,5,8,5,2,0,0,4,0,3,0,1,1,0,0,3,27,8,1,0.258
4/19/2019,,Indiana,L,4-13,37,4,10,3,1,0,1,1,0,0,0,1,0,0,1,12,27,7,2,0.27
4/21/2019,,Indiana,W,5-3,30,5,7,5,2,0,0,1,0,2,0,2,1,0,0,9,27,6,0,0.233
4/21/2019,,Indiana,L,2-11,29,2,2,2,0,0,1,5,0,1,0,1,0,0,0,14,27,5,2,0.069
4/23/2019,,Oakland,W,12-2,33,12,11,12,3,0,1,15,0,3,0,1,0,1,0,3,27,10,0,0.333
4/24/2019,,Toledo,W,4-2,26,4,5,1,0,0,0,11,0,4,1,1,0,1,1,9,27,4,0,0.192
4/26/2019,,Northwestern,W,8-3,37,8,15,7,2,0,1,5,0,2,0,0,1,0,1,6,27,10,4,0.405
4/27/2019,,Northwestern,W,8-2,35,8,15,7,3,1,0,3,0,1,1,0,2,1,0,2,27,13,1,0.429
4/27/2019,,Northwestern,L,2-3,35,2,7,1,1,0,1,0,0,1,0,0,1,0,1,9,30,12,1,0.2
5/3/2019,at ,Purdue,L,0-2,29,0,3,0,1,0,0,0,0,1,1,1,0,0,0,8,24,8,1,0.103
5/4/2019,at ,Purdue,W,5-1,32,5,6,4,0,0,1,6,0,1,1,0,1,1,0,9,27,7,0,0.188
5/5/2019,at ,Purdue,W,7-4,38,7,12,6,2,0,0,6,1,2,0,1,1,0,0,8,27,11,2,0.316
