Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG
2/19/2016,vs ,Michigan State,L,5-11,35,5,7,3,1,0,1,3,0,0,0,2,1,0,0,12,24,6,1,0.2
2/20/2016,at ,Furman,W,15-8,43,15,18,13,6,1,1,8,0,3,1,0,0,1,0,3,27,11,3,0.419
2/21/2016,vs ,Michigan State,L,2-7,31,2,6,2,1,0,0,4,0,0,1,0,0,0,1,9,24,13,2,0.194
2/26/2016,vs ,Michigan State,L,2-3,31,2,6,2,0,0,1,2,0,0,1,2,2,0,0,8,24,13,0,0.194
2/27/2016,vs ,A&M-Corpus Christi,W,9-3,36,9,12,9,1,1,1,3,0,1,1,0,1,2,0,6,27,12,4,0.333
2/28/2016,vs ,UCF,W,6-2,34,6,9,5,0,0,0,2,0,4,1,0,0,0,0,7,27,11,0,0.265
3/4/2016,vs ,Southern Miss,L,0-2,31,0,5,0,1,0,0,0,0,1,0,0,1,0,1,11,24,7,2,0.161
3/5/2016,vs ,Auburn,W,3-0,34,3,9,3,2,0,1,2,0,2,1,0,1,0,0,8,27,9,0,0.265
3/6/2016,vs ,Michigan State,L,0-3,29,0,4,0,1,0,0,2,0,0,0,1,1,0,0,7,24,9,0,0.138
3/8/2016,vs ,Illinois State,W,15-0,43,15,19,15,4,0,0,3,0,0,1,1,1,1,0,4,27,12,1,0.442
3/9/2016,vs ,Michigan State,L,6-7,31,6,5,5,1,0,0,5,0,0,0,3,2,0,1,6,24,10,0,0.161
3/11/2016,vs ,Butler,W,9-2,35,9,15,8,2,1,1,2,0,2,1,3,0,1,1,4,27,5,0,0.429
3/12/2016,vs ,Michigan State,L,7-8,40,7,16,6,3,0,0,3,0,1,0,2,0,0,1,10,24,6,3,0.4
3/13/2016,vs ,North Dakota State,W,9-5,43,9,18,7,5,0,1,1,0,0,1,1,0,0,0,6,27,11,2,0.419
3/18/2016,at ,USF,W,11-1,40,11,15,8,2,0,1,6,0,1,0,3,0,1,1,9,27,4,1,0.375
3/19/2016,at ,USF,L,0-2,31,0,5,0,0,0,0,3,0,0,1,1,0,0,0,11,24,7,1,0.161
3/20/2016,at ,USF,L,5-7,35,5,8,3,4,0,0,7,0,0,0,3,1,0,1,7,24,7,0,0.229
3/23/2016,,Central Michigan,W,4-1,29,4,5,3,0,0,0,2,0,5,0,1,0,0,1,2,27,13,2,0.172
3/26/2016,,Rutgers,W,5-4,32,5,11,5,1,0,0,9,0,0,0,0,2,0,1,7,27,9,5,0.344
3/26/2016,,Rutgers,W,5-2,30,5,9,4,1,0,1,3,0,1,0,1,3,0,0,4,27,4,0,0.3
3/27/2016,,Rutgers,W,6-5,35,6,11,6,1,0,2,1,0,0,0,0,0,0,0,9,27,11,0,0.314
3/29/2016,,Oakland,L,1-3,31,1,7,1,1,0,0,0,0,1,2,1,0,0,1,4,27,10,1,0.226
4/1/2016,,Oregon,W,3-2,35,3,8,3,2,0,1,2,0,0,1,0,1,0,0,3,30,9,0,0.229
4/5/2016,,Eastern Michigan,L,2-4,30,2,5,1,1,0,0,5,0,2,0,0,1,0,0,4,27,11,0,0.167
